order_id,order_datetime,customer_id,product_id,store_id,campaign_id,sales_channel_en,sales_channel_ar,payment_method_en,payment_method_ar,quantity,unit_price_egp,discount_pct,gross_sales_egp,discount_egp,net_sales_egp,cost_egp,order_status,currency
ORD2025000000011,2025-04-03 18:17:42,C0022925,P014,S003,CMP003,Noon,نون,Debit Card,بطاقة خصم,1,229.0,0.1,229.0,22.9,206.1,125.0,Completed,EGP
ORD2025000000012,2025-11-19 07:59:15,C0023225,P011,S018,CMP006,TikTok,تيك توك,Cash on Delivery,الدفع عند الاستلام,4,219.0,0.15,876.0,131.4,744.6,504.0,Completed,EGP
ORD2025000000013,2025-11-20 03:37:13,C0009617,P003,S024,CMP003,TikTok,تيك توك,Meeza,ميزة,2,145.0,0.15,290.0,43.5,246.5,164.0,Completed,EGP
ORD2025000000014,2025-05-06 15:45:51,C0015775,P013,S019,CMP006,Marketplace,ماركت بليس,InstaPay,إنستاباي,1,199.0,0.15,199.0,29.85,169.15,112.0,Completed,EGP
ORD2025000000015,2025-08-24 07:56:10,C0004816,P010,S023,CMP005,Retail Store,فرع,Cash on Delivery,الدفع عند الاستلام,2,195.0,0.0,390.0,0.0,390.0,216.0,Complete,جنيه
ORD2025000000016,2025-08-28 14:24:36,C0018245,P002,S022,CMP006,Facebook,فيسبوك,InstaPay,إنستاباي,1,189.0,0.1,189.0,18.9,170.1,105.0,Cancelled,EGP
ORD2025000000017,2025-07-05 23:16:34,C0018167,P018,S013,CMP003,Retail Store,فرع,Vodafone Cash,فودافون كاش,1,149.0,0.0,149.0,0.0,149.0,80.0,Completed,EGP
ORD2025000000018,2025-08-14 16:13:11,C0013076,P011,S031,CMP001,Retail Store,فرع,Credit Card,بطاقة ائتمان,3,219.0,0.05,657.0,32.85,624.15,378.0,Completed,EGP 
ORD2025000000019,2025-06-28 08:53:04,C0015122,P010,S012,CMP003,TikTok,تيك توك,Credit Card,بطاقة ائتمان,2,195.0,0.1,390.0,39.0,351.0,216.0,Completed,EGP
ORD2025000000020,2025-01-19 11:12:25,C0001722,P009,S011,CMP004,TikTok,تيك توك,Vodafone Cash,فودافون كاش,2,165.0,0.15,330.0,49.5,280.5,184.0,Completed,جنيه
ORD2025000000021,2025-05-13 03:24:31,C0015000,P005,S030,CMP003,Marketplace,ماركت بليس,Debit Card,بطاقة خصم,2,299.0,0.15,598.0,89.7,508.3,350.0,Cancelled,جنيه
ORD2025000000022,2025-02-09 08:12:16,C0004834,P004,S022,CMP003,Amazon Egypt,أمازون مصر,Vodafone Cash,فودافون كاش,4,129.0,0.05,516.0,25.8,490.2,280.0,Completed,جنيه
ORD2025000000023,2025-11-30 13:53:52,C0014534,P002,S011,CMP005,Jumia,جوميا,Meeza,ميزة,3,189.0,0.1,567.0,56.7,510.3,315.0,Completed,EGP
ORD2025000000024,2025-01-15 06:15:02,C0001093,P015,S029,CMP005,Retail Store,فرع,InstaPay,إنستاباي,3,549.0,0.0,1647.0,0.0,1647.0,915.0,Returned,EGP
ORD2025000000025,2025-10-19 00:38:05,C0002907,P019,S007,CMP003,Facebook,فيسبوك,Vodafone Cash,فودافون كاش,2,99.0,0.05,198.0,9.9,188.1,104.0,Completed,جنيه
ORD2025000000026,2025-11-02 19:24:19,C0019563,P004,S015,CMP007,Instagram,إنستجرام,Debit Card,بطاقة خصم,1,129.0,0.1,129.0,12.9,116.1,70.0,Completed,EGP 
ORD2025000000027,2025-05-18 21:49:13,C0019576,P017,S018,CMP006,Facebook,فيسبوك,Cash on Delivery,الدفع عند الاستلام,1,159.0,0.1,159.0,15.9,143.1,88.0,Completed,EGP
ORD2025000000028,2025-01-08 23:38:00,C0020281,P018,S010,CMP003,Facebook,فيسبوك,Debit Card,بطاقة خصم,2,149.0,0.05,298.0,14.9,283.1,160.0,Completed,جنيه
ORD2025000000029,2025-01-16 17:35:35,C0024206,P005,S002,CMP003,Jumia,جوميا,Meeza,ميزة,1,299.0,0.2,299.0,59.8,239.2,175.0,Completed,EGP
ORD2025000000030,2025-07-03 04:58:18,C0009253,P011,S002,CMP001,Retail Store,فرع,Vodafone Cash,فودافون كاش,4,219.0,0.15,876.0,131.4,744.6,504.0,Completed,EGP 
ORD2025000000031,2025-02-06 14:58:53,C0005731,P015,S002,CMP001,Marketplace,ماركت بليس,Credit Card,بطاقة ائتمان,1,549.0,0.0,549.0,0.0,549.0,305.0,Completed,جنيه
ORD2025000000032,2025-03-29 03:07:29,C0015707,P015,S019,CMP006,Website,الموقع الإلكتروني,Credit Card,بطاقة ائتمان,4,549.0,0.1,2196.0,219.6,1976.4,1220.0,Completed,جنيه
ORD2025000000033,2025-04-25 04:35:34,C0022069,P019,S010,CMP002,Retail Store,فرع,Credit Card,بطاقة ائتمان,1,99.0,0.0,99.0,0.0,99.0,52.0,Completed,EGP
ORD2025000000034,2025-06-20 04:26:11,C0020376,P014,S031,CMP006,Facebook,فيسبوك,Debit Card,بطاقة خصم,2,229.0,0.1,458.0,45.8,412.2,250.0,Completed,جنيه
ORD2025000000035,2025-12-16 17:53:52,C0001429,P003,S035,CMP006,Instagram,إنستجرام,InstaPay,إنستاباي,3,145.0,0.0,435.0,0.0,435.0,246.0,Completed,EGP 
ORD2025000000036,2025-08-17 00:51:56,C0016181,P015,S012,CMP007,Retail Store,فرع,Credit Card,بطاقة ائتمان,3,549.0,0.2,1647.0,329.4,1317.6,915.0,Completed,EGP
ORD2025000000037,2025-08-02 11:26:58,C0024220,P004,S023,CMP003,Website,الموقع الإلكتروني,Debit Card,بطاقة خصم,2,129.0,0.15,258.0,38.7,219.3,140.0,Completed,EGP
ORD2025000000038,2025-05-24 01:25:31,C0022946,P007,S016,CMP006,Marketplace,ماركت بليس,Vodafone Cash,فودافون كاش,1,215.0,0.2,215.0,43.0,172.0,120.0,Completed,EGP
ORD2025000000039,2025-09-17 20:45:54,C0018406,P004,S018,CMP001,Jumia,جوميا,InstaPay,إنستاباي,4,129.0,0.0,516.0,0.0,516.0,280.0,Completed,EGP
ORD2025000000040,2025-04-18 15:50:31,C0005493,P004,S018,CMP004,Amazon Egypt,أمازون مصر,Credit Card,بطاقة ائتمان,1,129.0,0.2,129.0,25.8,103.2,70.0,Cancelled,جنيه
ORD2025000000041,2025-03-09 00:55:48,C0018178,P020,S006,CMP006,Facebook,فيسبوك,Debit Card,بطاقة خصم,1,699.0,0.05,699.0,34.95,664.05,395.0,Completed,EGP
ORD2025000000042,2025-08-16 18:36:18,C0023209,P009,S011,CMP005,Facebook,فيسبوك,InstaPay,إنستاباي,1,165.0,0.05,165.0,8.25,156.75,92.0,Completed,EGP
ORD2025000000043,2025-12-15 22:24:20,C0012639,P002,S034,CMP006,Instagram,إنستجرام,Cash on Delivery,الدفع عند الاستلام,2,189.0,0.1,378.0,37.8,340.2,210.0,Cancelled,جنيه
ORD2025000000044,2025-01-23 06:31:16,C0008059,P018,S009,CMP003,Website,الموقع الإلكتروني,Debit Card,بطاقة خصم,3,149.0,0.05,447.0,22.35,424.65,240.0,Completed,EGP
ORD2025000000045,2025-07-09 08:44:02,C0012866,P003,S014,CMP002,Website,الموقع الإلكتروني,Meeza,ميزة,1,145.0,0.2,145.0,29.0,116.0,82.0,Completed,جنيه
ORD2025000000046,2025-12-09 12:22:32,C0012077,P015,S031,CMP005,Facebook,فيسبوك,Cash on Delivery,الدفع عند الاستلام,1,549.0,0.15,549.0,82.35,466.65,305.0,Completed,جنيه
ORD2025000000047,2025-01-09 00:18:18,C0011550,P004,S022,CMP002,TikTok,تيك توك,InstaPay,إنستاباي,3,129.0,0.05,387.0,19.35,367.65,210.0,Completed,جنيه
ORD2025000000048,2025-11-24 15:52:50,C0007704,P004,S012,CMP002,Retail Store,فرع,Cash on Delivery,الدفع عند الاستلام,6,129.0,0.0,774.0,0.0,774.0,420.0,Completed,جنيه
ORD2025000000049,2025-08-18 15:13:57,C0013659,P006,S023,CMP005,Website,الموقع الإلكتروني,Debit Card,بطاقة خصم,1,325.0,0.15,325.0,48.75,276.25,190.0,Completed,EGP
ORD2025000000050,2025-10-06 13:46:37,C0018682,P014,S023,CMP004,Instagram,إنستجرام,Meeza,ميزة,3,229.0,0.15,687.0,103.05,583.95,375.0,Completed,جنيه
ORD2025000000051,2025-05-22 10:39:56,C0007037,P013,S034,CMP002,Noon,نون,Vodafone Cash,فودافون كاش,1,199.0,0.0,199.0,0.0,199.0,112.0,Completed,جنيه
ORD2025000000052,2025-07-17 12:05:50,C0020275,P010,S029,CMP007,Retail Store,فرع,Cash on Delivery,الدفع عند الاستلام,2,195.0,0.2,390.0,78.0,312.0,216.0,Completed,EGP
ORD2025000000053,2025-11-15 18:24:38,C0017180,P020,S027,CMP002,Marketplace,ماركت بليس,InstaPay,إنستاباي,2,699.0,0.05,1398.0,69.9,1328.1,790.0,Completed,جنيه
ORD2025000000054,2025-06-21 04:25:21,C0020781,P009,S019,CMP005,Noon,نون,Credit Card,بطاقة ائتمان,2,165.0,0.0,330.0,0.0,330.0,184.0,Completed,EGP
ORD2025000000055,2025-07-09 13:48:56,C0011992,P017,S026,CMP002,Facebook,فيسبوك,Debit Card,بطاقة خصم,2,159.0,0.0,318.0,0.0,318.0,176.0,Completed,EGP
ORD2025000000056,2025-06-28 16:45:26,C0013102,P014,S027,CMP005,Instagram,إنستجرام,Vodafone Cash,فودافون كاش,2,229.0,0.0,458.0,0.0,458.0,250.0,Completed,EGP 
ORD2025000000057,2025-08-21 06:39:59,C0019193,P019,S025,CMP007,Pharmacy,صيدلية,InstaPay,إنستاباي,2,99.0,0.1,198.0,19.8,178.2,104.0,Completed,جنيه
ORD2025000000058,2025-07-09 09:00:26,C0019892,P004,S035,CMP007,Noon,نون,Credit Card,بطاقة ائتمان,1,129.0,0.1,129.0,12.9,116.1,70.0,Completed,EGP
ORD2025000000059,2025-10-01 01:13:28,C0009174,P016,S001,CMP004,Noon,نون,Cash on Delivery,الدفع عند الاستلام,3,479.0,0.0,1437.0,0.0,1437.0,795.0,Completed,جنيه
ORD2025000000060,2025-12-23 03:52:13,C0020383,P015,S016,CMP001,Instagram,إنستجرام,Cash on Delivery,الدفع عند الاستلام,1,549.0,0.1,549.0,54.9,494.1,305.0,Completed,جنيه
ORD2025000000061,2025-07-14 20:29:01,C0006372,P003,S016,CMP007,Website,الموقع الإلكتروني,Meeza,ميزة,2,145.0,0.0,290.0,0.0,290.0,164.0,Completed,جنيه
ORD2025000000062,2025-01-15 09:13:19,C0005126,P001,S028,CMP004,Pharmacy,صيدلية,Vodafone Cash,فودافون كاش,1,249.0,0.05,249.0,12.45,236.55,150.0,Completed,EGP
ORD2025000000063,2025-07-31 11:57:17,C0005972,P010,S027,CMP005,Website,الموقع الإلكتروني,InstaPay,إنستاباي,2,195.0,0.15,390.0,58.5,331.5,216.0,Completed,جنيه
ORD2025000000064,2025-06-24 10:56:04,C0024488,P014,S027,CMP005,Facebook,فيسبوك,Cash on Delivery,الدفع عند الاستلام,1,229.0,0.0,229.0,0.0,229.0,125.0,Completed,EGP
ORD2025000000065,2025-07-02 22:03:52,C0019017,P019,S026,CMP003,Website,الموقع الإلكتروني,Vodafone Cash,فودافون كاش,1,99.0,0.05,99.0,4.95,94.05,52.0,Completed,جنيه
ORD2025000000066,2025-01-21 12:54:55,C0003016,P007,S010,CMP005,Website,الموقع الإلكتروني,Debit Card,بطاقة خصم,2,215.0,0.0,430.0,0.0,430.0,240.0,Completed,EGP
ORD2025000000067,2025-12-30 17:23:16,C0012381,P017,S030,CMP004,Website,الموقع الإلكتروني,Debit Card,بطاقة خصم,2,159.0,0.0,318.0,0.0,318.0,176.0,Completed,EGP
ORD2025000000068,2025-07-30 16:44:00,C0024395,P019,S034,CMP003,Marketplace,ماركت بليس,InstaPay,إنستاباي,2,99.0,0.0,198.0,0.0,198.0,104.0,Completed,جنيه
ORD2025000000069,2025-08-29 17:14:22,C0021497,P019,S021,CMP002,Instagram,إنستجرام,Debit Card,بطاقة خصم,4,99.0,0.15,396.0,59.4,336.6,208.0,Completed,EGP
ORD2025000000070,2025-02-13 02:32:36,C0012785,P014,S007,CMP004,Noon,نون,InstaPay,إنستاباي,1,229.0,0.0,229.0,0.0,229.0,125.0,Completed,EGP
ORD2025000000071,2025-04-29 04:20:03,C0013175,P017,S021,CMP006,Instagram,إنستجرام,Vodafone Cash,فودافون كاش,1,159.0,0.2,159.0,31.8,127.2,88.0,Completed,EGP
ORD2025000000072,2025-02-23 17:22:30,C0022167,P006,S034,CMP006,TikTok,تيك توك,Vodafone Cash,فودافون كاش,1,325.0,0.0,325.0,0.0,325.0,190.0,Returned,جنيه
ORD2025000000073,2025-12-24 07:01:06,C0009921,P010,S033,CMP003,Noon,نون,Credit Card,بطاقة ائتمان,2,195.0,0.0,390.0,0.0,390.0,216.0,Completed,EGP
ORD2025000000074,2025-03-06 12:01:10,C0018483,P001,S027,CMP001,Amazon Egypt,أمازون مصر,Debit Card,بطاقة خصم,3,249.0,0.1,747.0,74.7,672.3,450.0,Completed,جنيه
ORD2025000000075,2025-11-21 20:29:04,C0001632,P010,S010,CMP004,Website,الموقع الإلكتروني,Vodafone Cash,فودافون كاش,3,195.0,0.05,585.0,29.25,555.75,324.0,Cancelled,EGP
ORD2025000000076,2025-12-17 02:55:03,C0015189,P016,S010,CMP007,Retail Store,فرع,Credit Card,بطاقة ائتمان,1,479.0,0.1,479.0,47.9,431.1,265.0,Complete,EGP
ORD2025000000077,2025-08-11 12:52:03,C0023267,P002,S020,CMP003,Amazon Egypt,أمازون مصر,Cash on Delivery,الدفع عند الاستلام,2,189.0,0.0,378.0,0.0,378.0,210.0,Completed,EGP
ORD2025000000078,2025-08-09 23:29:34,C0002405,P011,S011,CMP007,Facebook,فيسبوك,Meeza,ميزة,2,219.0,0.1,438.0,43.8,394.2,252.0,Completed,EGP
ORD2025000000079,2025-02-06 17:05:32,C0002126,P011,S027,CMP006,Noon,نون,Vodafone Cash,فودافون كاش,5,219.0,0.2,1095.0,219.0,876.0,630.0,Completed,EGP
ORD2025000000080,2025-07-22 11:01:51,C0008701,P003,S004,CMP004,Instagram,إنستجرام,Credit Card,بطاقة ائتمان,2,145.0,0.0,290.0,0.0,290.0,164.0,Completed,EGP
ORD2025000000081,2025-07-07 14:51:20,C0002967,P018,S030,CMP006,Website,الموقع الإلكتروني,Cash on Delivery,الدفع عند الاستلام,1,149.0,0.0,149.0,0.0,149.0,80.0,Completed,جنيه
ORD2025000000082,2025-02-18 04:46:23,C0012736,P017,S013,CMP004,Jumia,جوميا,Cash on Delivery,الدفع عند الاستلام,1,159.0,0.05,159.0,7.95,151.05,88.0,Completed,EGP
ORD2025000000083,2025-03-05 22:21:34,C0010735,P016,S018,CMP004,TikTok,تيك توك,InstaPay,إنستاباي,2,479.0,0.15,958.0,143.7,814.3,530.0,Completed,EGP
ORD2025000000084,2025-08-08 07:39:21,C0011251,P002,S008,CMP002,Facebook,فيسبوك,Vodafone Cash,فودافون كاش,1,189.0,0.0,189.0,0.0,189.0,105.0,Completed,جنيه
ORD2025000000085,2025-08-18 03:32:11,C0022088,P014,S005,CMP001,Instagram,إنستجرام,InstaPay,إنستاباي,1,229.0,0.0,229.0,0.0,229.0,125.0,Completed,EGP
ORD2025000000086,2025-06-17 20:15:02,C0021256,P013,S013,CMP007,Instagram,إنستجرام,Credit Card,بطاقة ائتمان,1,199.0,0.05,199.0,9.95,189.05,112.0,Completed,جنيه
ORD2025000000087,2025-09-09 23:37:55,C0018494,P001,S023,CMP004,Pharmacy,صيدلية,Credit Card,بطاقة ائتمان,1,249.0,0.0,249.0,0.0,249.0,150.0,Cancelled,جنيه مصري
ORD2025000000088,2025-05-05 07:50:55,C0003966,P017,S027,CMP001,Website,الموقع الإلكتروني,InstaPay,إنستاباي,2,159.0,0.0,318.0,0.0,318.0,176.0,Completed,جنيه
ORD2025000000089,2025-09-07 21:35:07,C0019774,P014,S013,CMP006,Instagram,إنستجرام,Cash on Delivery,الدفع عند الاستلام,1,229.0,0.0,229.0,0.0,229.0,125.0,Completed,جنيه
ORD2025000000090,2025-04-30 10:33:20,C0011896,P015,S009,CMP005,Pharmacy,صيدلية,Credit Card,بطاقة ائتمان,4,549.0,0.2,2196.0,439.2,1756.8,1220.0,Completed,جنيه
ORD2025000000091,2025-03-11 07:26:23,C0016216,P010,S034,CMP002,TikTok,تيك توك,Debit Card,بطاقة خصم,1,195.0,0.0,195.0,0.0,195.0,108.0,Completed,جنيه
ORD2025000000092,2025-07-22 17:22:34,C0024617,P015,S027,CMP005,TikTok,تيك توك,Vodafone Cash,فودافون كاش,1,549.0,0.2,549.0,109.8,439.2,305.0,Completed,جنيه
ORD2025000000093,2025-09-02 21:51:14,C0021209,P003,S029,CMP006,Marketplace,ماركت بليس,Cash on Delivery,الدفع عند الاستلام,2,145.0,0.15,290.0,43.5,246.5,164.0,Completed,EGP
ORD2025000000094,2025-09-12 02:48:27,C0022779,P011,S028,CMP007,Jumia,جوميا,InstaPay,إنستاباي,3,219.0,0.15,657.0,98.55,558.45,378.0,Completed,جنيه
ORD2025000000095,2025-09-12 05:46:46,C0009122,P019,S032,CMP005,Website,الموقع الإلكتروني,Credit Card,بطاقة ائتمان,2,99.0,0.2,198.0,39.6,158.4,104.0,Returned,جنيه
ORD2025000000096,2025-02-10 10:35:09,C0002693,P017,S012,CMP005,Jumia,جوميا,Cash on Delivery,الدفع عند الاستلام,1,159.0,0.0,159.0,0.0,159.0,88.0,Completed,EGP
ORD2025000000097,2025-03-14 18:18:23,C0021225,P014,S009,CMP004,Pharmacy,صيدلية,Meeza,ميزة,4,229.0,0.05,916.0,45.8,870.2,500.0,Completed,EGP
ORD2025000000098,2025-09-09 17:35:06,C0004477,P014,S030,CMP004,Amazon Egypt,أمازون مصر,Credit Card,بطاقة ائتمان,1,229.0,0.05,229.0,11.45,217.55,125.0,Completed,EGP
ORD2025000000099,2025-09-15 20:36:06,C0013620,P011,S031,CMP003,TikTok,تيك توك,Meeza,ميزة,3,219.0,0.05,657.0,32.85,624.15,378.0,Completed,EGP
ORD2025000000100,2025-03-20 03:46:13,C0014199,P012,S015,CMP005,Instagram,إنستجرام,InstaPay,إنستاباي,2,239.0,0.15,478.0,71.7,406.3,276.0,Returned,جنيه
ORD2025000000101,2025-01-04 21:36:02,C0011312,P008,S018,CMP006,Retail Store,فرع,Debit Card,بطاقة خصم,1,179.0,0.2,179.0,35.8,143.2,98.0,Completed,جنيه
ORD2025000000102,2025-05-16 09:15:03,C0005801,P014,S026,CMP006,Retail Store,فرع,Cash on Delivery,الدفع عند الاستلام,1,229.0,0.0,229.0,0.0,229.0,125.0,Completed,جنيه
ORD2025000000103,2025-02-10 05:00:29,C0015415,P011,S010,CMP002,Pharmacy,صيدلية,Credit Card,بطاقة ائتمان,1,219.0,0.05,219.0,10.95,208.05,126.0,Completed,EGP
ORD2025000000104,2025-11-05 20:58:36,C0024340,P016,S030,CMP001,Pharmacy,صيدلية,Vodafone Cash,فودافون كاش,3,479.0,0.0,1437.0,0.0,1437.0,795.0,Completed,EGP
ORD2025000000105,2025-02-22 04:35:17,C0023851,P020,S007,CMP006,Jumia,جوميا,InstaPay,إنستاباي,1,699.0,0.05,699.0,34.95,664.05,395.0,Completed,EGP 
ORD2025000000106,2025-06-30 06:58:38,C0014780,P020,S029,CMP004,Instagram,إنستجرام,Meeza,ميزة,1,699.0,0.05,699.0,34.95,664.05,395.0,Completed,جنيه
ORD2025000000107,2025-03-29 17:27:24,C0021183,P019,S028,CMP002,TikTok,تيك توك,Meeza,ميزة,2,99.0,0.1,198.0,19.8,178.2,104.0,Cancelled,جنيه
ORD2025000000108,2025-11-21 21:45:27,C0010247,P005,S031,CMP001,Pharmacy,صيدلية,InstaPay,إنستاباي,1,299.0,0.05,299.0,14.95,284.05,175.0,Completed,جنيه
ORD2025000000109,2025-12-07 06:53:25,C0019304,P009,S003,CMP001,TikTok,تيك توك,Cash on Delivery,الدفع عند الاستلام,2,165.0,0.0,330.0,0.0,330.0,184.0,Completed,EGP
ORD2025000000110,2025-11-26 23:24:17,C0017335,P017,S034,CMP005,Noon,نون,Vodafone Cash,فودافون كاش,3,159.0,0.2,477.0,95.4,381.6,264.0,Completed,جنيه
ORD2025000000111,2025-05-27 05:35:06,C0015318,P012,S023,CMP006,Jumia,جوميا,Vodafone Cash,فودافون كاش,2,239.0,0.15,478.0,71.7,406.3,276.0,Completed,EGP
ORD2025000000112,2025-12-01 22:00:59,C0001186,P009,S003,CMP001,Marketplace,ماركت بليس,Vodafone Cash,فودافون كاش,2,165.0,0.2,330.0,66.0,264.0,184.0,Completed,EGP
ORD2025000000113,2025-10-29 12:21:18,C0011955,P002,S035,CMP002,Facebook,فيسبوك,Cash on Delivery,الدفع عند الاستلام,1,189.0,0.1,189.0,18.9,170.1,105.0,Completed,جنيه
ORD2025000000114,2025-11-05 00:30:50,C0017166,P014,S006,CMP005,Noon,نون,Credit Card,بطاقة ائتمان,3,229.0,0.0,687.0,0.0,687.0,375.0,Completed,جنيه
ORD2025000000115,2025-07-19 14:05:44,C0015636,P004,S025,CMP003,Jumia,جوميا,Credit Card,بطاقة ائتمان,1,129.0,0.05,129.0,6.45,122.55,70.0,Cancelled,جنيه
ORD2025000000116,2025-05-23 14:35:00,C0013340,P001,S011,CMP007,TikTok,تيك توك,Vodafone Cash,فودافون كاش,3,249.0,0.15,747.0,112.05,634.95,450.0,Completed,جنيه
ORD2025000000117,2025-06-18 21:38:04,C0021558,P001,S008,CMP004,Jumia,جوميا,Debit Card,بطاقة خصم,6,249.0,0.2,1494.0,298.8,1195.2,900.0,Completed,EGP
ORD2025000000118,2025-03-20 19:12:52,C0022665,P006,S025,CMP002,Amazon Egypt,أمازون مصر,InstaPay,إنستاباي,3,325.0,0.0,975.0,0.0,975.0,570.0,Completed,EGP 
ORD2025000000119,2025-03-15 21:53:05,C0000570,P016,S033,CMP005,Pharmacy,صيدلية,InstaPay,إنستاباي,2,479.0,0.2,958.0,191.6,766.4,530.0,Completed,EGP
ORD2025000000120,2025-01-25 10:44:25,C0024676,P019,S003,CMP004,Facebook,فيسبوك,Meeza,ميزة,1,99.0,0.05,99.0,4.95,94.05,52.0,Completed,EGP
ORD2025000000121,2025-09-24 23:24:35,C0013298,P019,S029,CMP002,Instagram,إنستجرام,Credit Card,بطاقة ائتمان,1,99.0,0.15,99.0,14.85,84.15,52.0,Completed,EGP
ORD2025000000122,2025-06-13 03:21:19,C0015319,P008,S004,CMP004,Website,الموقع الإلكتروني,Meeza,ميزة,2,179.0,0.0,358.0,0.0,358.0,196.0,Completed,EGP
ORD2025000000123,2025-09-15 15:34:29,C0020909,P013,S014,CMP007,Amazon Egypt,أمازون مصر,InstaPay,إنستاباي,2,199.0,0.1,398.0,39.8,358.2,224.0,Completed,EGP
ORD2025000000124,2025-08-11 15:45:40,C0023112,P009,S020,CMP004,Amazon Egypt,أمازون مصر,InstaPay,إنستاباي,2,165.0,0.0,330.0,0.0,330.0,184.0,Completed,جنيه
ORD2025000000125,2025-12-27 09:06:04,C0012869,P016,S022,CMP007,Facebook,فيسبوك,Cash on Delivery,الدفع عند الاستلام,4,479.0,0.0,1916.0,0.0,1916.0,1060.0,Completed,EGP
ORD2025000000126,2025-06-30 04:35:05,C0008721,P016,S007,CMP006,Instagram,إنستجرام,Cash on Delivery,الدفع عند الاستلام,1,479.0,0.0,479.0,0.0,479.0,265.0,Completed,جنيه
ORD2025000000127,2025-08-24 04:13:33,C0006973,P009,S015,CMP004,Amazon Egypt,أمازون مصر,Vodafone Cash,فودافون كاش,1,165.0,0.15,165.0,24.75,140.25,92.0,Completed,EGP
ORD2025000000128,2025-04-17 00:01:12,C0000743,P017,S032,CMP002,Marketplace,ماركت بليس,Vodafone Cash,فودافون كاش,1,159.0,0.05,159.0,7.95,151.05,88.0,Completed,EGP
ORD2025000000129,2025-09-29 08:26:49,C0019719,P001,S017,CMP001,Amazon Egypt,أمازون مصر,Credit Card,بطاقة ائتمان,1,249.0,0.15,249.0,37.35,211.65,150.0,Completed,EGP
ORD2025000000130,2025-01-10 02:15:39,C0004495,P012,S004,CMP007,Jumia,جوميا,InstaPay,إنستاباي,1,239.0,0.1,239.0,23.9,215.1,138.0,Completed,EGP
ORD2025000000131,2025-03-23 00:32:55,C0023383,P015,S014,CMP005,Website,الموقع الإلكتروني,Vodafone Cash,فودافون كاش,1,549.0,0.1,549.0,54.9,494.1,305.0,Completed,EGP 
ORD2025000000132,2025-05-21 15:39:09,C0018041,P011,S007,CMP003,Instagram,إنستجرام,InstaPay,إنستاباي,1,219.0,0.15,219.0,32.85,186.15,126.0,Returned,EGP
ORD2025000000133,2025-01-26 19:14:08,C0005656,P006,S022,CMP002,TikTok,تيك توك,Debit Card,بطاقة خصم,1,325.0,0.15,325.0,48.75,276.25,190.0,Completed,جنيه
ORD2025000000134,2025-03-09 19:29:52,C0006154,P014,S035,CMP001,Retail Store,فرع,InstaPay,إنستاباي,2,229.0,0.1,458.0,45.8,412.2,250.0,Completed,جنيه
ORD2025000000135,2025-10-04 06:31:23,C0024115,P013,S035,CMP004,TikTok,تيك توك,Credit Card,بطاقة ائتمان,1,199.0,0.05,199.0,9.95,189.05,112.0,Completed,جنيه
ORD2025000000136,2025-01-30 05:34:37,C0011341,P001,S003,CMP005,Noon,نون,Meeza,ميزة,3,249.0,0.05,747.0,37.35,709.65,450.0,Completed,EGP
